ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
1,8.0,,,,,,1,18.0
2,,,,,11.5,70,1,
3,,,150.0,3436.0,11.0,70,,18.0
4,8.0,,,3433.0,12.0,70,,16.0
5,,,,3449.0,10.5,70,,17.0
6,,,,4341.0,10.0,70,,15.0
7,,,,,,70,1,14.0
8,,,,4312.0,8.5,70,1,
9,8.0,,,4425.0,,70,,14.0
10,,,,,8.5,70,,15.0
11,,,,,10.0,70,,15.0
12,8.0,,,,8.0,70,,14.0
13,,,,,9.5,,,15.0
14,,,,,10.0,70,1,
15,4.0,113.0,,2372.0,15.0,70,,
16,,,95.0,,15.5,70,,22.0
17,,199.0,,,15.5,70,,18.0
18,6.0,,,,16.0,70,1,
19,4.0,97.0,,,14.5,70,,
20,,97.0,46.0,1835.0,,70,,26.0
21,4.0,110.0,,,,70,,
22,,,90.0,2430.0,,70,,24.0
23,4.0,104.0,95.0,2375.0,17.5,70,,25.0
24,,121.0,113.0,2234.0,12.5,70,,
25,,199.0,90.0,2648.0,,70,,
26,8.0,,,,14.0,70,,
27,,307.0,,,,,,10.0
28,8.0,,,,,70,,11.0
29,,,193.0,,,70,,
30,4.0,97.0,88.0,2130.0,14.5,71,,
31,4.0,,90.0,,15.5,71,,
32,,113.0,95.0,2228.0,14.0,71,,
33,,232.0,,2634.0,,71,,
34,,,105.0,,15.5,,1,16.0
35,6.0,,,,15.5,71,1,17.0
36,6.0,250.0,,3302.0,,71,,19.0
37,,232.0,,,15.5,,,
38,,,165.0,,12.0,71,1,14.0
39,8.0,,,4464.0,11.5,71,,14.0
40,,,,,,71,,14.0
41,,,,,13.0,71,,14.0
42,8.0,,,,11.5,71,1,12.0
43,8.0,,,,12.0,71,1,13.0
44,,,,,12.0,71,1,13.0
45,6.0,258.0,,2962.0,13.5,,,18.0
46,4.0,,72.0,2408.0,,71,1,22.0
47,6.0,250.0,100.0,,,71,,19.0
48,,250.0,88.0,,14.5,,,18.0
49,4.0,122.0,,2220.0,14.0,,,
50,4.0,116.0,90.0,2123.0,,71,2,28.0
51,4.0,79.0,,,,71,,
52,4.0,88.0,76.0,2065.0,14.5,,2,
53,4.0,71.0,,1773.0,,71,,31.0
54,4.0,72.0,69.0,1613.0,18.0,71,,
55,4.0,97.0,60.0,1834.0,,,,27.0
56,4.0,91.0,70.0,1955.0,,71,1,
57,4.0,,,2278.0,,72,,
58,4.0,,,2126.0,,,1,25.0
59,,,54.0,,,,2,23.0
60,4.0,140.0,,2408.0,19.5,72,1,20.0
61,4.0,,86.0,,16.5,72,,
62,,,,,12.0,,1,13.0
63,,,175.0,,12.0,,,
64,8.0,,,,13.5,72,,
65,8.0,,,,13.0,72,,14.0
66,8.0,,,,,72,,
67,8.0,,,,11.0,72,,
68,8.0,350.0,,,13.5,,,13.0
69,,,,,,,,12.0
70,,,,,12.5,72,,13.0
71,3.0,70.0,,,13.5,72,,19.0
72,8.0,,,,12.5,72,,
73,8.0,,,4098.0,14.0,,1,13.0
74,8.0,,,,16.0,72,1,13.0
75,8.0,,,,14.0,,,14.0
76,4.0,121.0,,,14.5,72,2,
77,4.0,,76.0,2511.0,,72,,22.0
78,,,87.0,,19.5,72,2,
79,4.0,96.0,69.0,2189.0,,72,2,
80,4.0,,86.0,2395.0,,,,22.0
81,,97.0,,,,,3,28.0
82,4.0,,,2506.0,,72,3,23.0
83,,98.0,80.0,,15.0,72,,
84,4.0,97.0,,,,72,,
85,8.0,,,,13.0,,1,13.0
86,8.0,304.0,150.0,,11.5,,,14.0
87,8.0,350.0,,3988.0,13.0,,1,13.0
88,,,,,,73,,
89,8.0,,,,12.5,,,15.0
90,,,,,11.5,,,12.0
91,8.0,,,,12.0,,,13.0
92,,,,4363.0,13.0,,,13.0
93,8.0,,,,14.5,,1,14.0
94,8.0,,,,11.0,,,13.0
95,8.0,,,,11.0,,,12.0
96,8.0,,,,11.0,,,
97,,225.0,,,,,,18.0
98,6.0,,,3278.0,,,,16.0
99,,232.0,,2945.0,16.0,,,
100,,,,,16.5,,,18.0
