ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
1,8,307.0,130.0,3504,12.0,70,1,18.0
2,8,350.0,165.0,3693,11.5,70,1,15.0
3,8,318.0,150.0,3436,11.0,70,1,18.0
4,8,304.0,150.0,3433,12.0,70,1,16.0
5,8,302.0,140.0,3449,10.5,70,1,17.0
6,8,429.0,198.0,4341,10.0,70,1,15.0
7,8,454.0,220.0,4354,9.0,70,1,14.0
8,8,440.0,215.0,4312,8.5,70,1,14.0
9,8,455.0,225.0,4425,10.0,70,1,14.0
10,8,390.0,190.0,3850,8.5,70,1,15.0
11,8,383.0,170.0,3563,10.0,70,1,15.0
12,8,340.0,160.0,3609,8.0,70,1,14.0
13,8,400.0,150.0,3761,9.5,70,1,15.0
14,8,455.0,225.0,3086,10.0,70,1,14.0
15,4,113.0,95.0,2372,15.0,70,3,24.0
16,6,198.0,95.0,2833,15.5,70,1,22.0
17,6,199.0,97.0,2774,15.5,70,1,18.0
18,6,200.0,85.0,2587,16.0,70,1,21.0
19,4,97.0,88.0,2130,14.5,70,3,27.0
20,4,97.0,46.0,1835,20.5,70,2,26.0
21,4,110.0,87.0,2672,17.5,70,2,25.0
22,4,107.0,90.0,2430,14.5,70,2,24.0
23,4,104.0,95.0,2375,17.5,70,2,25.0
24,4,121.0,113.0,2234,12.5,70,2,26.0
25,6,199.0,90.0,2648,15.0,70,1,21.0
26,8,360.0,215.0,4615,14.0,70,1,10.0
27,8,307.0,200.0,4376,15.0,70,1,10.0
28,8,318.0,210.0,4382,13.5,70,1,11.0
29,8,304.0,193.0,4732,18.5,70,1,9.0
30,4,97.0,88.0,2130,14.5,71,3,27.0
31,4,140.0,90.0,2264,15.5,71,1,28.0
32,4,113.0,95.0,2228,14.0,71,3,25.0
33,6,232.0,100.0,2634,13.0,71,1,19.0
34,6,225.0,105.0,3439,15.5,71,1,16.0
35,6,250.0,100.0,3329,15.5,71,1,17.0
36,6,250.0,88.0,3302,15.5,71,1,19.0
37,6,232.0,100.0,3288,15.5,71,1,18.0
38,8,350.0,165.0,4209,12.0,71,1,14.0
39,8,400.0,175.0,4464,11.5,71,1,14.0
40,8,351.0,153.0,4154,13.5,71,1,14.0
41,8,318.0,150.0,4096,13.0,71,1,14.0
42,8,383.0,180.0,4955,11.5,71,1,12.0
43,8,400.0,170.0,4746,12.0,71,1,13.0
44,8,400.0,175.0,5140,12.0,71,1,13.0
45,6,258.0,110.0,2962,13.5,71,1,18.0
46,4,140.0,72.0,2408,19.0,71,1,22.0
47,6,250.0,100.0,3282,15.0,71,1,19.0
48,6,250.0,88.0,3139,14.5,71,1,18.0
49,4,122.0,86.0,2220,14.0,71,1,23.0
50,4,116.0,90.0,2123,14.0,71,2,28.0
51,4,79.0,70.0,2074,19.5,71,2,30.0
52,4,88.0,76.0,2065,14.5,71,2,30.0
53,4,71.0,65.0,1773,19.0,71,3,31.0
54,4,72.0,69.0,1613,18.0,71,3,35.0
55,4,97.0,60.0,1834,19.0,71,2,27.0
56,4,91.0,70.0,1955,20.5,71,1,26.0
57,4,113.0,95.0,2278,15.5,72,3,24.0
58,4,97.5,80.0,2126,17.0,72,1,25.0
59,4,97.0,54.0,2254,23.5,72,2,23.0
60,4,140.0,90.0,2408,19.5,72,1,20.0
61,4,122.0,86.0,2226,16.5,72,1,21.0
62,8,350.0,165.0,4274,12.0,72,1,13.0
63,8,400.0,175.0,4385,12.0,72,1,14.0
64,8,318.0,150.0,4135,13.5,72,1,15.0
65,8,351.0,153.0,4129,13.0,72,1,14.0
66,8,304.0,150.0,3672,11.5,72,1,17.0
67,8,429.0,208.0,4633,11.0,72,1,11.0
68,8,350.0,155.0,4502,13.5,72,1,13.0
69,8,350.0,160.0,4456,13.5,72,1,12.0
70,8,400.0,190.0,4422,12.5,72,1,13.0
71,3,70.0,97.0,2330,13.5,72,3,19.0
72,8,304.0,150.0,3892,12.5,72,1,15.0
73,8,307.0,130.0,4098,14.0,72,1,13.0
74,8,302.0,140.0,4294,16.0,72,1,13.0
75,8,318.0,150.0,4077,14.0,72,1,14.0
76,4,121.0,112.0,2933,14.5,72,2,18.0
77,4,121.0,76.0,2511,18.0,72,2,22.0
78,4,120.0,87.0,2979,19.5,72,2,21.0
79,4,96.0,69.0,2189,18.0,72,2,26.0
80,4,122.0,86.0,2395,16.0,72,1,22.0
81,4,97.0,92.0,2288,17.0,72,3,28.0
82,4,120.0,97.0,2506,14.5,72,3,23.0
83,4,98.0,80.0,2164,15.0,72,1,28.0
84,4,97.0,88.0,2100,16.5,72,3,27.0
85,8,350.0,175.0,4100,13.0,73,1,13.0
86,8,304.0,150.0,3672,11.5,73,1,14.0
87,8,350.0,145.0,3988,13.0,73,1,13.0
88,8,302.0,137.0,4042,14.5,73,1,14.0
89,8,318.0,150.0,3777,12.5,73,1,15.0
