ID,IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode,medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop
1,3,3,1,3,,0.37,0.27,0.55,0.19,0.2
2,4,3,3,1,,0.31,0.27,0.43,0.24,0.67
3,4,,3,1,4,0.3,0.36,0.42,0.27,0.43
4,1,3,1,2,2,0.58,0.33,0.65,0.1,0.12
5,1,3,1,4,2,0.5,0.12,0.91,0.06,0.03
6,1,3,1,2,6,,0.1,0.62,0.12,0.14
7,3,3,1,,,0.42,0.28,0.77,0.11,0.03
8,2,1,2,1,6,0.16,1.0,0.45,0.64,0.55
9,2,,3,1,4,0.17,0.55,0.51,0.45,
10,,3,1,2,1,0.54,0.11,0.65,0.11,
11,3,3,1,3,6,0.49,0.32,0.62,0.18,0.24
12,1,3,1,2,2,0.72,0.18,0.85,0.07,0.08
13,1,3,1,4,2,0.8,0.24,0.87,,0.06
14,3,,1,2,1,0.46,0.13,0.88,0.07,0.09
15,1,3,1,3,6,0.71,0.19,0.66,,0.21
16,2,1,3,3,1,0.18,0.32,,0.33,0.3
17,4,3,1,1,2,0.22,0.37,0.2,,0.49
18,1,3,1,,,0.79,0.11,0.88,0.04,
19,,1,1,2,,0.33,0.19,0.66,0.22,0.15
20,4,2,,4,2,0.23,,0.76,0.28,0.03
21,3,3,,,6,0.33,0.59,0.6,0.34,0.34
22,4,3,3,1,4,0.28,0.3,0.53,,
23,2,,3,3,6,,0.63,0.49,0.58,0.21
24,4,,3,1,1,0.22,0.33,0.59,0.36,0.63
25,2,1,,3,6,0.16,1.0,0.54,0.63,0.31
26,4,,1,,,0.29,0.3,0.58,,
27,,3,3,1,6,0.35,0.35,0.47,0.25,0.84
28,,1,3,2,1,0.23,0.34,0.65,0.32,0.1
29,2,1,3,1,,0.12,0.54,,0.57,0.49
30,1,1,1,4,2,,0.22,0.83,0.01,0.02
31,2,,3,3,4,0.16,0.24,0.63,0.45,0.16
32,4,3,3,3,1,0.25,0.28,0.51,0.33,0.19
33,2,3,1,2,4,0.02,0.42,0.55,,0.15
34,2,3,1,3,4,0.2,0.36,0.41,0.43,0.31
35,1,3,1,2,6,0.8,0.16,0.79,0.06,0.08
36,2,,,3,1,0.19,0.45,0.47,0.38,0.24
37,,3,1,2,6,0.58,0.2,0.78,0.1,0.11
38,2,,,3,6,0.18,0.34,0.62,0.59,0.22
39,2,1,,2,5,0.17,0.5,,0.48,
40,1,1,1,4,2,0.58,0.16,0.75,0.02,0.07
41,3,,2,2,2,0.37,0.51,0.72,0.1,0.11
42,4,3,3,4,2,0.32,0.33,0.67,,
43,2,3,3,1,4,0.16,0.56,0.3,0.54,0.8
44,1,3,1,3,,0.56,0.27,0.68,0.17,0.22
45,1,3,1,3,2,0.78,0.18,0.93,0.07,0.17
46,4,3,1,3,6,0.25,0.34,0.7,0.44,0.16
47,3,2,3,,2,0.47,,0.72,0.18,
48,,1,3,2,,0.18,0.45,,0.57,0.12
49,3,,1,2,,0.37,,0.62,0.18,0.11
50,4,1,3,2,2,0.23,0.47,0.57,0.34,0.12
51,4,3,3,3,1,0.24,,0.44,0.43,0.2
52,,3,3,1,,0.38,0.44,0.59,0.31,
53,,3,3,,2,,0.23,0.65,,0.23
54,1,3,,,2,0.79,0.24,0.9,0.05,0.05
55,4,3,,2,1,,0.53,0.59,0.43,0.1
56,2,1,3,,5,0.13,0.65,0.57,0.61,0.28
57,1,3,1,3,6,0.5,0.25,,,0.22
58,2,,2,3,6,0.17,0.44,0.46,0.43,0.22
59,3,,1,1,4,0.34,0.33,0.58,0.3,
60,3,3,2,4,,0.43,0.22,0.66,0.1,0.05
61,1,3,1,4,2,0.52,0.2,0.81,0.08,0.03
62,4,1,3,4,4,0.23,0.18,0.55,0.3,0.07
63,2,1,3,,6,0.16,0.47,,0.5,0.07
64,4,1,3,1,,0.24,0.51,,,0.57
65,2,1,2,1,,0.18,0.74,0.45,0.44,0.37
66,1,3,1,2,6,0.92,0.08,,,0.14
67,4,,3,,,,,,0.37,0.61
68,1,3,1,,2,0.74,0.21,0.81,0.08,0.03
69,4,3,2,1,2,0.28,0.75,0.42,,0.5
70,4,1,,4,2,0.22,0.23,,0.25,0.05
71,1,3,1,4,1,0.91,0.07,0.95,0.04,0.04
72,3,1,1,3,6,0.48,0.2,0.69,0.1,
73,4,3,,4,1,0.27,0.29,0.69,,
74,1,,1,4,,0.73,,0.86,0.06,0.02
75,,3,3,2,,0.41,0.3,0.56,0.18,0.14
76,4,,1,3,2,0.26,0.51,,0.24,0.18
77,,3,2,2,5,0.23,0.51,0.53,0.39,
78,2,3,2,1,5,0.11,0.89,0.36,0.75,
79,,3,3,1,6,0.15,0.62,0.42,0.57,0.7
80,,3,1,1,6,0.36,0.26,0.56,0.19,0.75
81,3,3,1,3,2,0.41,,0.47,0.28,0.3
82,2,3,3,,6,,0.54,0.51,,
83,2,1,3,1,5,0.15,0.33,,0.52,1.0
84,3,3,1,,1,0.4,0.23,0.96,,0.0
85,2,1,1,4,1,0.08,,0.54,0.82,0.03
86,2,1,3,,1,0.14,0.32,,0.31,0.06
87,4,1,3,2,5,0.28,0.15,0.7,0.2,0.08
88,3,3,,2,6,,0.12,0.76,0.11,0.1
89,2,1,2,3,6,0.15,0.71,0.52,0.49,0.27
90,4,3,3,2,6,0.26,0.3,,0.19,
91,,,,1,4,0.27,0.12,,,0.63
92,3,3,1,,,0.41,0.16,0.66,0.24,0.05
93,,2,1,4,2,0.65,0.21,0.81,0.11,
94,3,3,3,2,6,,0.18,0.65,0.09,0.12
95,3,3,1,1,6,0.4,0.31,0.62,0.22,0.4
96,3,,1,1,2,,0.49,0.58,,
97,2,1,3,,6,0.17,0.56,0.41,0.49,0.45
98,4,1,,4,1,0.21,,0.79,0.64,0.04
99,1,2,3,,,0.61,0.35,,0.03,
100,,3,3,,2,0.33,0.45,0.57,0.23,
101,,3,,1,,0.21,0.61,0.59,0.42,0.39
102,3,3,3,4,2,0.34,0.52,0.72,0.12,0.02
103,4,3,3,1,4,0.26,0.37,0.54,0.28,0.34
104,4,3,3,3,5,0.22,0.42,0.62,0.44,0.28
105,2,,1,2,1,,0.07,0.68,0.31,0.08
106,2,1,,1,3,0.04,1.0,,0.99,0.44
107,4,3,1,,,0.24,0.34,,0.73,0.24
108,1,,1,2,2,0.65,0.07,0.88,,0.09
109,2,1,3,,,,,0.62,0.58,0.26
