ID,IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode,medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop
1,,3,1,3,,,0.27,0.55,,
2,,,3,,,,,,,0.67
3,4,,,,,0.3,0.36,0.42,0.27,
4,1,3,1,2,2,,,,0.1,
5,,,1,4,2,,0.12,,,0.03
6,1,3,1,2,,,,,0.12,0.14
7,,3,1,,,,0.28,0.77,,0.03
8,,1,2,1,6,0.16,,0.45,,0.55
9,,,3,,,0.17,,0.51,0.45,
10,,,1,2,1,,0.11,0.65,0.11,
11,,3,1,,6,,0.32,0.62,,0.24
12,,3,1,,2,0.72,,0.85,0.07,
13,,,1,,2,,0.24,,,0.06
14,,,1,2,1,,0.13,0.88,0.07,0.09
15,,3,,3,,,0.19,,,
16,2,1,,,,0.18,,,0.33,
17,,,,1,2,0.22,0.37,0.2,,0.49
18,1,3,,,,0.79,,,0.04,
19,,,,2,,0.33,0.19,0.66,0.22,0.15
20,4,2,,4,,,,0.76,0.28,0.03
21,,,,,6,,0.59,,0.34,0.34
22,,3,,,4,0.28,0.3,,,
23,2,,,,,,0.63,,0.58,
24,4,,3,,,0.22,,,0.36,0.63
25,2,1,,3,6,0.16,1.0,,0.63,0.31
26,4,,1,,,,,0.58,,
27,,,3,1,6,0.35,,,,0.84
28,,1,,2,,,,,,0.1
29,2,,3,1,,0.12,,,,0.49
30,1,1,1,4,2,,0.22,,0.01,
31,,,3,,,0.16,,,,
32,,3,3,,,0.25,0.28,0.51,0.33,0.19
33,2,3,1,,,0.02,,,,
34,2,3,1,,4,0.2,,0.41,0.43,
35,,3,1,,,0.8,0.16,0.79,0.06,
36,2,,,3,,,0.45,0.47,0.38,
37,,3,1,,6,0.58,0.2,0.78,0.1,
38,,,,3,,0.18,,,,
39,2,1,,2,5,0.17,,,,
40,1,,1,4,,0.58,,,0.02,
41,3,,,2,,,,0.72,0.1,0.11
42,,,3,4,2,0.32,,,,
43,2,,,,,0.16,0.56,,0.54,
44,1,3,1,3,,0.56,0.27,0.68,0.17,0.22
45,1,3,,3,2,0.78,,,0.07,0.17
46,4,,1,,,0.25,0.34,0.7,0.44,
47,,2,3,,,0.47,,0.72,0.18,
48,,,3,2,,,,,,0.12
49,3,,,,,,,0.62,0.18,0.11
50,4,,3,2,,0.23,0.47,0.57,0.34,
51,,3,3,,,0.24,,,0.43,0.2
52,,3,,,,0.38,0.44,,,
53,,3,3,,2,,,0.65,,
54,1,3,,,2,,,,,0.05
55,,,,,1,,,0.59,0.43,0.1
56,2,1,,,5,0.13,0.65,,0.61,0.28
57,,,,3,,,,,,0.22
58,2,,,3,,,0.44,,0.43,
59,,,,1,4,,0.33,,0.3,
60,,,2,,,,0.22,0.66,,0.05
61,,3,1,,2,0.52,0.2,0.81,0.08,0.03
62,4,1,3,,4,,0.18,,,0.07
63,2,1,3,,6,,0.47,,0.5,
64,,,3,,,0.24,0.51,,,0.57
65,2,1,2,,,0.18,,,0.44,0.37
66,,,1,2,,,0.08,,,0.14
67,,,3,,,,,,0.37,
68,,,1,,2,0.74,0.21,0.81,,
69,,3,2,,,0.28,0.75,0.42,,
70,4,1,,4,2,0.22,0.23,,,0.05
71,1,3,1,4,1,,,0.95,,
72,3,1,1,3,6,,,,,
73,4,,,4,1,,0.29,0.69,,
74,1,,,,,,,0.86,,
75,,,3,2,,0.41,0.3,0.56,,
76,4,,1,3,2,0.26,0.51,,0.24,0.18
77,,3,2,2,5,0.23,,,0.39,
78,,3,,1,5,,0.89,,,
