ID,IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode,medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop
1,3,,1,,6,,,0.55,,
2,,,3,,6,,0.27,0.43,0.24,
3,,1,3,1,,0.3,0.36,0.42,,
4,1,,1,,2,,0.33,,0.1,
5,1,3,1,4,2,,0.12,,0.06,0.03
6,1,,1,2,6,,0.1,0.62,0.12,0.14
7,3,3,,4,,,0.28,0.77,,0.03
8,2,,,,6,0.16,,0.45,,
9,,,,,4,0.17,,,0.45,
10,,,1,,1,,0.11,,0.11,0.15
11,3,,,3,6,,0.32,0.62,,0.24
12,,3,1,,,,0.18,,0.07,0.08
13,1,,1,,,0.8,0.24,,0.07,0.06
14,3,,,,1,0.46,0.13,,0.07,
15,,3,1,3,,,0.19,0.66,,
16,,,,3,,0.18,0.32,0.55,0.33,0.3
17,,3,1,1,,,,0.2,,
18,,,,4,,,,,0.04,0.07
19,3,,1,2,,0.33,0.19,0.66,,0.15
20,,,,4,,,,,0.28,0.03
21,3,,,1,,,,0.6,0.34,
22,4,,3,,,,,,0.33,
23,,1,3,3,6,0.13,,0.49,,
24,,,3,,,0.22,0.33,0.59,,
25,2,,,,6,,,,,0.31
26,,,1,,6,0.29,0.3,0.58,0.3,0.12
27,3,,,,,0.35,,0.47,0.25,
28,4,1,,,1,0.23,,0.65,,
29,2,1,3,1,,0.12,,0.41,0.57,
30,,1,,,2,,,,0.01,0.02
31,,,,3,,0.16,0.24,0.63,0.45,0.16
32,4,3,3,3,1,0.25,,0.51,,
33,,,1,,4,0.02,,0.55,,0.15
34,,,1,3,4,,,0.41,0.43,0.31
35,,,1,,,,0.16,,0.06,0.08
36,,,,3,1,0.19,0.45,0.47,0.38,0.24
37,,,1,,,,0.2,,0.1,0.11
38,,1,2,3,,0.18,0.34,0.62,,
39,,1,3,,,0.17,,0.65,,0.13
40,1,1,1,,,,0.16,,0.02,0.07
