ID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS
1,540.0,0.0,0.0,162.0,,1040.0,676.0,28,79.99
2,540.0,0.0,0.0,162.0,2.5,,676.0,28,61.89
3,332.5,142.5,0.0,,0.0,932.0,594.0,270,40.27
4,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
5,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
6,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
7,,95.0,0.0,228.0,0.0,,594.0,365,43.7
8,,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
9,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
10,475.0,0.0,0.0,228.0,0.0,932.0,594.0,,39.29
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,
12,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02
13,,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
14,190.0,,0.0,228.0,0.0,932.0,670.0,90,42.33
15,,76.0,0.0,228.0,,932.0,670.0,28,47.81
16,380.0,0.0,0.0,,0.0,932.0,670.0,90,52.91
17,139.6,209.4,,192.0,0.0,1047.0,806.9,90,39.36
18,342.0,38.0,,228.0,0.0,932.0,670.0,365,56.14
19,380.0,95.0,0.0,228.0,,932.0,594.0,90,40.56
20,,,0.0,228.0,0.0,932.0,,,
21,427.5,47.5,,228.0,0.0,932.0,594.0,180,
22,139.6,,0.0,192.0,0.0,,806.9,28,28.24
23,139.6,209.4,,,0.0,1047.0,806.9,3,8.06
24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
25,,,0.0,,0.0,932.0,670.0,,52.52
26,380.0,0.0,0.0,228.0,,932.0,670.0,270,53.3
27,380.0,95.0,0.0,228.0,0.0,932.0,,270,41.15
28,342.0,38.0,0.0,228.0,0.0,932.0,,180,
29,427.5,47.5,0.0,,,,,28,37.43
30,475.0,0.0,0.0,228.0,0.0,932.0,594.0,,38.6
31,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
32,266.0,114.0,,228.0,0.0,,670.0,365,52.91
33,198.6,132.4,0.0,192.0,,978.4,825.5,180,41.72
34,475.0,,0.0,228.0,0.0,932.0,594.0,270,42.13
35,,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
37,,237.5,,228.0,0.0,932.0,594.0,28,30.08
38,332.5,142.5,0.0,228.0,0.0,932.0,594.0,,37.72
39,475.0,0.0,0.0,228.0,0.0,932.0,,,42.23
40,237.5,237.5,0.0,228.0,0.0,932.0,,180,36.25
41,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,
42,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7
43,,237.5,0.0,228.0,0.0,,594.0,,39.0
44,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
45,427.5,,0.0,228.0,0.0,932.0,594.0,90,41.54
46,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
47,,0.0,0.0,,0.0,1047.0,806.9,3,15.05
48,380.0,95.0,0.0,228.0,0.0,932.0,594.0,,40.76
49,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
50,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
51,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
52,190.0,190.0,,228.0,0.0,,670.0,,46.93
53,237.5,,0.0,228.0,,932.0,594.0,90,33.12
54,304.0,76.0,,228.0,,932.0,670.0,90,49.19
55,,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59
56,198.6,132.4,0.0,192.0,0.0,978.4,,7,14.64
57,475.0,,0.0,228.0,0.0,,594.0,365,41.93
58,,132.4,,192.0,0.0,,825.5,,9.13
59,,76.0,0.0,228.0,0.0,,,180,50.95
60,332.5,142.5,0.0,228.0,0.0,932.0,,28,33.02
61,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,
62,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
63,310.0,0.0,0.0,,,971.0,850.6,3,
64,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
65,266.0,114.0,0.0,228.0,0.0,932.0,670.0,,48.7
66,342.0,38.0,0.0,,0.0,932.0,670.0,270,55.06
67,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
68,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28
69,190.0,190.0,0.0,228.0,0.0,,670.0,28,40.86
70,485.0,0.0,,146.0,0.0,1120.0,800.0,,71.99
71,,,0.0,170.1,10.1,926.1,756.7,3,
72,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8
73,425.0,106.3,,,16.5,852.1,887.1,,33.4
74,,,,,18.6,,803.7,3,36.3
75,,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
76,475.0,118.8,0.0,181.1,8.9,852.1,,,
77,469.0,,0.0,137.8,32.2,852.1,,3,40.2
78,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
79,,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
80,,0.0,0.0,141.8,,852.1,893.7,,41.3
81,,,,153.5,,852.1,887.1,,33.4
82,318.8,212.5,0.0,155.7,,852.1,880.4,3,
83,401.8,94.7,0.0,147.4,11.4,946.8,,3,41.1
84,362.6,189.0,,164.9,11.6,944.7,,3,35.3
85,323.7,282.8,0.0,183.8,10.3,,,3,28.3
86,379.5,151.2,0.0,153.9,15.9,1134.3,,3,
87,362.6,189.0,0.0,164.9,11.6,944.7,755.8,,35.3
88,286.3,200.9,0.0,144.7,,1004.6,803.7,3,24.4
89,362.6,189.0,0.0,164.9,11.6,944.7,,3,35.3
90,439.0,177.0,0.0,186.0,,884.9,,3,39.3
91,,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
92,362.6,189.0,0.0,164.9,11.6,944.7,,3,35.3
93,337.9,,0.0,174.9,9.5,944.7,755.8,3,
94,,189.2,0.0,170.1,10.1,926.1,756.7,7,
95,313.3,262.2,,175.5,8.6,,611.8,7,42.8
96,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
97,425.0,106.3,,151.4,18.6,936.0,803.7,7,46.8
98,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
99,475.0,118.8,0.0,181.1,8.9,852.1,,7,
100,,,,137.8,32.2,852.1,840.5,,
101,425.0,106.3,0.0,,,,887.1,7,49.2
102,,97.1,,157.9,12.1,852.1,925.7,7,34.9
103,531.3,,,141.8,28.2,852.1,893.7,7,
104,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
105,318.8,212.5,0.0,155.7,14.3,852.1,,7,33.4
106,,94.7,0.0,,,,852.1,7,54.1
107,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
108,323.7,282.8,0.0,,10.3,942.7,659.9,7,49.8
109,379.5,,,,15.9,,605.0,,47.1
110,362.6,189.0,,164.9,11.6,944.7,755.8,7,
111,,200.9,,144.7,,1004.6,803.7,7,38.0
112,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
113,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1
114,389.9,189.0,,145.9,22.0,944.7,755.8,7,59.09
115,362.6,189.0,0.0,164.9,11.6,,755.8,7,22.9
116,337.9,,0.0,174.9,,944.7,755.8,,35.1
117,374.0,189.2,,170.1,10.1,926.1,756.7,28,61.09
118,,262.2,0.0,,8.6,1046.9,611.8,28,
119,425.0,106.3,0.0,153.5,16.5,,887.1,28,60.29
120,425.0,,,,,936.0,803.7,28,61.8
121,375.0,,0.0,126.6,23.4,852.1,992.6,28,56.7
122,475.0,118.8,0.0,,,852.1,781.5,28,68.3
123,469.0,117.2,0.0,137.8,32.2,,840.5,28,66.9
124,425.0,106.3,0.0,153.5,,852.1,887.1,28,60.29
125,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
126,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
127,425.0,,0.0,153.5,16.5,852.1,887.1,,60.29
128,318.8,212.5,0.0,,14.3,852.1,,28,55.5
129,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5
130,362.6,189.0,,164.9,11.6,944.7,755.8,28,71.3
131,323.7,282.8,0.0,183.8,10.3,,659.9,28,
132,379.5,151.2,0.0,153.9,15.9,1134.3,,,52.2
133,362.6,189.0,,,11.6,944.7,755.8,,71.3
134,286.3,200.9,0.0,144.7,11.2,1004.6,,28,67.7
135,362.6,,0.0,164.9,11.6,944.7,755.8,28,71.3
136,,177.0,0.0,186.0,11.1,884.9,,,66.0
137,389.9,,0.0,,22.0,,755.8,28,74.5
138,,,0.0,164.9,11.6,944.7,755.8,,71.3
139,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
140,374.0,189.2,,,10.1,926.1,756.7,56,63.4
141,,262.2,0.0,,8.6,,611.8,56,64.9
142,425.0,106.3,,153.5,16.5,852.1,887.1,56,
143,425.0,106.3,0.0,151.4,18.6,,803.7,56,64.9
144,,93.8,0.0,126.6,,852.1,992.6,56,60.2
145,475.0,118.8,0.0,,8.9,852.1,781.5,56,72.3
146,469.0,117.2,,137.8,32.2,,840.5,56,
147,425.0,106.3,,153.5,16.5,852.1,887.1,56,
148,388.6,97.1,0.0,,,,925.7,56,55.2
149,531.3,0.0,,141.8,28.2,852.1,893.7,56,58.8
