ID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS
1,,0.0,0.0,162.0,,,676.0,28,
2,,,,162.0,,,,,
3,332.5,142.5,0.0,,,,,270,40.27
4,332.5,,0.0,228.0,0.0,932.0,594.0,365,
5,,132.4,,192.0,,,825.5,360,44.3
6,266.0,,,228.0,0.0,932.0,670.0,90,47.03
7,,,,228.0,0.0,,,365,43.7
8,,,0.0,228.0,,932.0,594.0,,36.45
9,266.0,114.0,0.0,,0.0,,670.0,,
10,475.0,,,228.0,,932.0,594.0,,
11,,132.4,0.0,192.0,,978.4,825.5,90,
12,,132.4,0.0,,0.0,,825.5,28,
13,,,0.0,228.0,,932.0,594.0,,43.01
14,,,,,0.0,,670.0,,42.33
15,,76.0,,,,932.0,670.0,28,
16,380.0,0.0,0.0,,,932.0,,90,
17,139.6,,,,0.0,1047.0,806.9,,
18,342.0,,,228.0,,,,,
19,380.0,95.0,0.0,228.0,,932.0,594.0,90,40.56
20,,,0.0,,,932.0,,,
21,,47.5,,228.0,0.0,932.0,594.0,180,
22,139.6,,0.0,,,,806.9,28,28.24
23,,,,,0.0,,806.9,,8.06
24,,,0.0,,,1047.0,806.9,180,
25,,,0.0,,,,,,52.52
26,380.0,,,228.0,,932.0,,,53.3
27,,95.0,0.0,228.0,0.0,932.0,,270,41.15
28,342.0,,0.0,228.0,,932.0,,180,
29,,,0.0,,,,,,37.43
30,475.0,0.0,,,,932.0,594.0,,38.6
31,304.0,,,,,,670.0,,55.26
32,266.0,114.0,,228.0,,,,365,52.91
33,198.6,132.4,0.0,192.0,,978.4,,180,
34,,,0.0,,,932.0,,,
35,,,0.0,228.0,,,670.0,365,53.69
36,237.5,237.5,0.0,228.0,0.0,,,270,
37,,,,228.0,0.0,932.0,,28,30.08
38,332.5,142.5,,,,932.0,594.0,,
39,475.0,0.0,0.0,,,932.0,,,42.23
40,,237.5,0.0,228.0,,932.0,,180,36.25
41,342.0,38.0,0.0,228.0,0.0,,670.0,,
42,427.5,,0.0,,,,,365,43.7
43,,237.5,0.0,228.0,,,,,39.0
44,,0.0,0.0,,0.0,,,180,
45,427.5,,,228.0,,,,90,41.54
46,427.5,,,228.0,0.0,932.0,594.0,,
47,,0.0,0.0,,,,,3,15.05
48,380.0,,0.0,228.0,0.0,932.0,594.0,,40.76
49,237.5,237.5,0.0,228.0,0.0,932.0,,7,26.26
50,,,0.0,228.0,0.0,932.0,,7,
51,332.5,142.5,0.0,228.0,,,,180,39.78
52,,190.0,,228.0,0.0,,670.0,,
53,237.5,,,,,,594.0,90,33.12
54,,,,,,932.0,670.0,90,
55,,209.4,0.0,,0.0,1047.0,806.9,7,
56,,132.4,0.0,,,978.4,,,14.64
57,,,0.0,,,,594.0,365,
58,,,,192.0,0.0,,825.5,,
59,,,,228.0,0.0,,,180,
60,,,0.0,,,,,,33.02
61,,76.0,0.0,228.0,0.0,932.0,670.0,,
62,266.0,114.0,,228.0,0.0,,,,
63,,,,,,971.0,850.6,3,
64,190.0,,,228.0,,932.0,,270,
65,,114.0,0.0,,0.0,,670.0,,48.7
66,,38.0,,,,932.0,670.0,,55.06
67,,209.4,0.0,,0.0,1047.0,806.9,360,44.7
68,332.5,142.5,0.0,228.0,,932.0,,7,
69,190.0,190.0,0.0,228.0,0.0,,670.0,,40.86
70,485.0,,,,,1120.0,,,71.99
71,,,0.0,,10.1,926.1,756.7,,
72,,,0.0,175.5,8.6,,,3,28.8
73,,106.3,,,16.5,852.1,,,33.4
74,,,,,18.6,,803.7,,
75,,93.8,0.0,126.6,23.4,,,3,
76,475.0,,,181.1,8.9,852.1,,,
77,469.0,,0.0,137.8,32.2,852.1,,,40.2
78,425.0,106.3,0.0,153.5,16.5,,,3,
79,,97.1,0.0,157.9,12.1,852.1,,,
80,,,0.0,,,852.1,893.7,,41.3
81,,,,153.5,,,,,
82,318.8,,,,,,880.4,3,
83,401.8,94.7,,,11.4,946.8,,3,41.1
84,362.6,189.0,,164.9,11.6,944.7,,3,35.3
85,323.7,282.8,,,10.3,,,,28.3
86,379.5,151.2,,153.9,,,,3,
87,,189.0,0.0,,,944.7,,,35.3
88,,,0.0,,,,,3,24.4
89,362.6,189.0,,,11.6,944.7,,,
90,439.0,,0.0,186.0,,884.9,,3,
91,,189.0,0.0,,,944.7,755.8,3,40.6
92,,,0.0,164.9,11.6,,,3,35.3
93,337.9,,,174.9,,944.7,755.8,,
94,,189.2,0.0,,,926.1,,,
95,313.3,262.2,,175.5,,,611.8,7,
96,,,0.0,153.5,16.5,,887.1,7,49.2
97,425.0,106.3,,151.4,,936.0,803.7,,
98,,,0.0,126.6,23.4,852.1,992.6,7,
99,475.0,,0.0,181.1,8.9,852.1,,,
100,,,,137.8,,,,,
101,,106.3,,,,,887.1,,49.2
102,,,,157.9,12.1,852.1,925.7,,34.9
103,,,,141.8,28.2,852.1,893.7,7,
104,,,0.0,,16.5,,887.1,,
105,,212.5,,,14.3,852.1,,,33.4
106,,94.7,,,,,,7,
107,362.6,189.0,0.0,164.9,,,755.8,,55.9
