ID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS
1,,0.0,0.0,162.0,,,676.0,28,
2,,0.0,0.0,162.0,2.5,,,28,
3,332.5,142.5,0.0,,0.0,932.0,594.0,270,
4,332.5,,0.0,,0.0,932.0,594.0,365,
5,198.6,132.4,0.0,192.0,0.0,,,360,44.3
6,266.0,114.0,0.0,,0.0,932.0,670.0,,
7,,95.0,,,,932.0,594.0,365,43.7
8,,95.0,0.0,,0.0,932.0,,28,
9,,,,,0.0,932.0,670.0,,45.85
10,,0.0,,,0.0,932.0,594.0,,39.29
11,198.6,,0.0,,0.0,,,90,
12,198.6,,0.0,,0.0,978.4,825.5,28,28.02
13,,47.5,0.0,,,932.0,594.0,270,
14,190.0,,0.0,,0.0,932.0,670.0,,
15,304.0,,0.0,,0.0,932.0,,,
16,,0.0,0.0,,,,670.0,90,
17,139.6,,0.0,192.0,0.0,,806.9,,
18,,,0.0,,0.0,932.0,670.0,,
19,,95.0,0.0,,,932.0,594.0,,40.56
20,,,0.0,,0.0,,594.0,180,42.62
21,427.5,,0.0,228.0,,932.0,594.0,,
22,139.6,,0.0,,0.0,,,28,28.24
23,,,0.0,,0.0,1047.0,,,8.06
24,139.6,,,,,1047.0,,,
25,,0.0,0.0,228.0,0.0,932.0,670.0,,
26,,0.0,0.0,,0.0,932.0,670.0,270,
27,,95.0,0.0,,0.0,932.0,594.0,,
28,,,,,0.0,932.0,,,
29,,47.5,0.0,,0.0,932.0,594.0,,
30,,0.0,,,0.0,932.0,594.0,7,
31,,76.0,,,0.0,,670.0,,
32,266.0,114.0,0.0,,0.0,932.0,670.0,,52.91
33,198.6,,0.0,,,978.4,,,
34,,0.0,0.0,,0.0,932.0,594.0,270,
35,190.0,,0.0,,0.0,932.0,670.0,365,
36,237.5,,0.0,,0.0,,594.0,270,38.41
37,237.5,,0.0,,0.0,932.0,,28,30.08
38,,,0.0,228.0,0.0,932.0,594.0,,37.72
39,,0.0,0.0,,0.0,932.0,594.0,,
40,237.5,,0.0,,0.0,932.0,594.0,180,
41,,,,,0.0,932.0,670.0,,
42,,47.5,0.0,,0.0,932.0,594.0,365,
43,,,0.0,,0.0,932.0,594.0,365,
44,,0.0,0.0,,,932.0,670.0,,
45,,47.5,0.0,,0.0,932.0,594.0,,41.54
46,,,,,0.0,932.0,,,
47,349.0,0.0,0.0,192.0,0.0,,806.9,3,15.05
48,,95.0,0.0,,0.0,932.0,594.0,180,
49,237.5,237.5,0.0,,,932.0,594.0,7,26.26
50,,,,,0.0,932.0,594.0,7,32.82
51,,142.5,,,0.0,,594.0,180,
52,,,0.0,,,932.0,670.0,,
53,237.5,,,,0.0,,594.0,,33.12
54,,,0.0,,0.0,932.0,670.0,90,
55,139.6,,0.0,,0.0,,,,14.59
56,,,0.0,,,978.4,,7,
57,475.0,0.0,0.0,,0.0,,594.0,365,
58,,,0.0,,,,,3,
59,304.0,,0.0,,0.0,932.0,670.0,180,
60,,,,,0.0,932.0,594.0,28,33.02
61,,,0.0,228.0,0.0,932.0,670.0,270,
62,,,0.0,,0.0,932.0,,,
63,310.0,,0.0,,0.0,,850.6,3,9.87
64,190.0,,,,0.0,932.0,670.0,270,
65,,114.0,,,0.0,932.0,,,
66,,38.0,0.0,,0.0,932.0,670.0,270,
67,139.6,,0.0,192.0,0.0,,806.9,,44.7
68,,,0.0,,0.0,932.0,594.0,7,
69,190.0,,,,0.0,,670.0,28,
70,,0.0,0.0,,,,,28,
71,,,0.0,,,926.1,756.7,3,34.4
72,313.3,,0.0,175.5,8.6,,,3,28.8
73,,,,,,,,3,
74,,,0.0,,,936.0,803.7,3,
75,,,0.0,126.6,,,,3,29.0
76,,,0.0,181.1,,852.1,781.5,3,37.8
77,,117.2,0.0,137.8,,852.1,840.5,3,
78,,,0.0,,16.5,852.1,,3,33.4
79,,,0.0,,,852.1,,,28.1
80,,0.0,0.0,,,,,,
81,,,,153.5,,852.1,,,33.4
82,318.8,,0.0,155.7,,852.1,,3,25.2
83,,,0.0,147.4,,,852.1,3,41.1
84,,,0.0,164.9,,944.7,755.8,3,
85,,282.8,,183.8,10.3,942.7,659.9,,28.3
86,,,0.0,153.9,,,605.0,,28.6
87,,,,164.9,,944.7,,,
88,,,,144.7,,,,3,24.4
89,,,0.0,164.9,,944.7,755.8,,
90,,,,,,884.9,707.9,,39.3
91,389.9,,,145.9,,944.7,755.8,3,
92,,,0.0,164.9,,944.7,755.8,3,35.3
93,,,0.0,,,944.7,755.8,3,24.1
94,,,0.0,170.1,10.1,,756.7,7,
95,313.3,,0.0,175.5,,1046.9,611.8,7,
96,,106.3,,153.5,,,,7,
97,,,0.0,151.4,,936.0,803.7,7,46.8
98,,,0.0,126.6,,852.1,,7,
99,,,0.0,,,,781.5,,
100,,,0.0,137.8,32.2,852.1,,,
101,,106.3,0.0,,,,,7,
102,,97.1,0.0,157.9,,,,7,34.9
103,,,0.0,141.8,,852.1,,7,
104,,,0.0,153.5,,852.1,,7,
105,,,0.0,,14.3,852.1,,,
106,,,,147.4,,946.8,,,
107,,189.0,,164.9,,944.7,,,
108,,,0.0,183.8,,,,7,
109,,,,153.9,,,605.0,7,
110,,,0.0,,11.6,,755.8,,
111,,,0.0,144.7,,1004.6,803.7,7,38.0
112,,,,164.9,,944.7,755.8,7,
113,,,0.0,186.0,,,707.9,7,
114,,,0.0,145.9,,944.7,,7,
115,,,,164.9,,,,,22.9
116,,,0.0,174.9,9.5,,755.8,7,35.1
117,,,,,10.1,926.1,,28,
118,313.3,,0.0,175.5,,,611.8,28,
119,,106.3,0.0,153.5,,,,,
120,,,0.0,151.4,,,,,
121,375.0,,,126.6,,852.1,,,
122,,118.8,0.0,181.1,8.9,852.1,781.5,28,
123,,,0.0,137.8,,852.1,,,66.9
124,425.0,106.3,0.0,153.5,16.5,852.1,,28,
125,,97.1,0.0,157.9,,852.1,,28,
126,,0.0,,141.8,,852.1,,28,
127,,,0.0,153.5,,852.1,,,
128,,212.5,0.0,155.7,14.3,852.1,,,
129,,,0.0,147.4,,,,28,
130,,,0.0,164.9,,944.7,,28,
131,,,0.0,183.8,,942.7,659.9,28,
132,,,0.0,153.9,,,,28,
133,,,0.0,164.9,11.6,,755.8,28,
134,286.3,,0.0,144.7,,1004.6,,28,
135,,,0.0,,,944.7,755.8,28,
136,,,0.0,186.0,,884.9,,28,
137,,189.0,0.0,,,944.7,,28,
138,,,0.0,164.9,,,755.8,,
139,,,0.0,174.9,,,,28,
140,,,0.0,,10.1,926.1,,,
141,313.3,,,,,,611.8,56,
142,,,0.0,153.5,16.5,852.1,,56,
143,,106.3,0.0,,,936.0,,,
144,,93.8,0.0,126.6,,852.1,,,
145,,,0.0,181.1,,,781.5,,
146,,,0.0,137.8,,,840.5,,
147,,,,153.5,,852.1,,,
148,,97.1,0.0,157.9,,852.1,,56,
149,,0.0,,141.8,,852.1,893.7,56,
150,,,0.0,153.5,,852.1,,,64.3
151,,,0.0,155.7,,852.1,,,
152,,,0.0,,,946.8,852.1,56,
153,,,0.0,164.9,,944.7,755.8,,
154,,,,183.8,,942.7,659.9,56,
155,,,,153.9,,,605.0,,
156,,,,164.9,,,,56,
157,286.3,200.9,0.0,144.7,,,803.7,56,
158,,,0.0,164.9,,,,56,
159,,,0.0,,,884.9,707.9,,
160,,189.0,0.0,,22.0,,755.8,,
161,,189.0,0.0,164.9,,944.7,,,
162,,,0.0,174.9,,944.7,755.8,,
163,,,0.0,170.1,10.1,926.1,756.7,,
164,,,0.0,175.5,,,611.8,91,
165,425.0,,0.0,153.5,,852.1,,,
166,,106.3,0.0,151.4,,,,91,
167,,,0.0,126.6,,852.1,,,
168,475.0,,0.0,181.1,8.9,852.1,781.5,,
169,,,0.0,137.8,,852.1,840.5,,
170,,106.3,,153.5,16.5,852.1,,,
