exp_id,input_complete,input_missing,method,seed,categorical_vars,continuous_vars,use_gpu,k,max_iter,use_probabilistic_sampling,add_noise_to_continuous,noise_level,n_estimators,n_jobs,verbose,iterations,batch_size,hint_rate,alpha,learning_rate,epochs,lr,latent_dim,num_iw_samples
BASE_AutoMPG_MCAR_30per_GAIN_s1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,GAIN,1,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,10000.0,128.0,0.9,100.0,0.001,,,,
BASE_AutoMPG_MCAR_30per_MIWAE_s1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,MIWAE,1,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,,64.0,,,,500.0,0.001,10.0,20.0
BASE_AutoMPG_MCAR_30per_GAIN_s2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,GAIN,2,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,10000.0,128.0,0.9,100.0,0.001,,,,
BASE_AutoMPG_MCAR_30per_MIWAE_s2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,MIWAE,2,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,,64.0,,,,500.0,0.001,10.0,20.0
BASE_AutoMPG_MCAR_30per_GAIN_s3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,GAIN,3,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,10000.0,128.0,0.9,100.0,0.001,,,,
BASE_AutoMPG_MCAR_30per_MIWAE_s3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,MIWAE,3,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,,64.0,,,,500.0,0.001,10.0,20.0
BASE_AutoMPG_MCAR_30per_GAIN_s5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,GAIN,5,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,10000.0,128.0,0.9,100.0,0.001,,,,
BASE_AutoMPG_MCAR_30per_MIWAE_s5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,MIWAE,5,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,,64.0,,,,500.0,0.001,10.0,20.0
BASE_AutoMPG_MCAR_30per_GAIN_s8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,GAIN,8,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,10000.0,128.0,0.9,100.0,0.001,,,,
BASE_AutoMPG_MCAR_30per_MIWAE_s8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,MIWAE,8,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,,,,,,,,,64.0,,,,500.0,0.001,10.0,20.0
