exp_id,input_complete,input_missing,method,seed,categorical_vars,continuous_vars,use_gpu,k,max_iter,use_probabilistic_sampling,add_noise_to_continuous,noise_level,n_estimators,n_jobs,verbose,iterations,batch_size,hint_rate,alpha,learning_rate,epochs,lr,latent_dim,num_iw_samples
SWEEPBASE_AutoMPG_MCAR_10per_MissForest_s1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,MissForest,1,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_50per_MissForest_s1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,MissForest,1,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_10per_MissForest_s2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,MissForest,2,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_50per_MissForest_s2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,MissForest,2,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_10per_MissForest_s3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,MissForest,3,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_50per_MissForest_s3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,MissForest,3,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_10per_MissForest_s5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,MissForest,5,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_50per_MissForest_s5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,MissForest,5,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_10per_MissForest_s8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,MissForest,8,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
SWEEPBASE_AutoMPG_MCAR_50per_MissForest_s8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,MissForest,8,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",,,10.0,,,,100.0,1.0,False,,,,,,,,,
