exp_id,dataset,mechanism,miss_rate,variant,seed,input_complete,input_missing,categorical_vars,continuous_vars,alpha0,gamma,max_iters,tol,use_stat_refine,mask_fraction,hidden_dims,emb_dim,num_heads,lr,epochs,batch_size,use_gpu
AutoMPG_MCAR_10per_SNI_s1,AutoMPG,MCAR,0.1,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_10per_SNI_s2,AutoMPG,MCAR,0.1,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_10per_SNI_s3,AutoMPG,MCAR,0.1,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_10per_SNI_s5,AutoMPG,MCAR,0.1,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_10per_SNI_s8,AutoMPG,MCAR,0.1,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_30per_SNI_s1,AutoMPG,MCAR,0.3,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_30per_SNI_s2,AutoMPG,MCAR,0.3,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_30per_SNI_s3,AutoMPG,MCAR,0.3,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_30per_SNI_s5,AutoMPG,MCAR,0.3,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_30per_SNI_s8,AutoMPG,MCAR,0.3,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_50per_SNI_s1,AutoMPG,MCAR,0.5,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_50per_SNI_s2,AutoMPG,MCAR,0.5,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_50per_SNI_s3,AutoMPG,MCAR,0.5,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_50per_SNI_s5,AutoMPG,MCAR,0.5,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MCAR_50per_SNI_s8,AutoMPG,MCAR,0.5,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_50per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_10per_SNI_s1,AutoMPG,MAR,0.1,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_10per_SNI_s2,AutoMPG,MAR,0.1,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_10per_SNI_s3,AutoMPG,MAR,0.1,SNI,3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_10per_SNI_s5,AutoMPG,MAR,0.1,SNI,5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_10per_SNI_s8,AutoMPG,MAR,0.1,SNI,8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_10per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_SNI_s1,AutoMPG,MAR,0.3,SNI,1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
AutoMPG_MAR_30per_SNI_s2,AutoMPG,MAR,0.3,SNI,2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True
