exp_id,input_complete,input_missing,variant,seed,categorical_vars,continuous_vars,hard_prior_lambda,alpha0,gamma,max_iters,tol,use_stat_refine,mask_fraction,hidden_dims,emb_dim,num_heads,lr,epochs,batch_size,use_gpu,cat_balance_mode,cat_lr_mult,lambda_mode,lambda_fixed_value
V03_MAIN_AutoMPG_MCAR_30per_SNI_s1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,SNI,1,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MCAR_30per_SNI_s2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,SNI,2,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MCAR_30per_SNI_s3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,SNI,3,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MCAR_30per_SNI_s5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,SNI,5,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MCAR_30per_SNI_s8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MCAR_30per.csv,SNI,8,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MAR_30per_SNI_s1,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,SNI,1,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MAR_30per_SNI_s2,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,SNI,2,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MAR_30per_SNI_s3,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,SNI,3,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MAR_30per_SNI_s5,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,SNI,5,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_AutoMPG_MAR_30per_SNI_s8,data/AutoMPG_complete.csv,data/AutoMPG/AutoMPG_MAR_30per.csv,SNI,8,"model_year,origin","cylinders,displacement,horsepower,weight,acceleration,mpg",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MCAR_30per_SNI_s1,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,SNI,1,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MCAR_30per_SNI_s2,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,SNI,2,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
V03_MAIN_ComCri_MCAR_30per_SNI_s3,data/ComCri_complete.csv,data/ComCri/ComCri_MCAR_30per.csv,SNI,3,"IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode","medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop",10.0,1.0,0.9,3,0.0001,True,0.15,"256,128,64",128,16,0.0002,200,128,True,none,1.0,learned,1.0
